time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent,, accelerator
122,0,0,214.29,19.85,739,23.52,7.52,28.26,8.11,229.1886,535
123,0,0,231.43,21.42,745,24.15,5.18,28.42,5.47,155.4574,475
124,0,0,231.43,21.42,750,24.78,4.1,28.58,4.1,117.178,1023
125,0,0,240,22.26,757,25.26,1.76,28.89,2.64,76.2696,454
126,0,0,257.14,23.83,763,25.73,1.47,28.73,1.86,53.4378,530
127,0,0,257.14,23.83,770,26.05,0.3,29.05,0.78,22.659,434
128,0,0,274.29,25.41,777,19.41,0.3,29.21,0.49,14.3129,427
129,0,0,291.43,26.99,784,13.41,0.3,28.73,0.49,14.0777,1023
130,0,0,291.43,26.99,792,8.35,0.3,28.89,0.39,11.2671,465
131,0,0,291.43,26.99,799,3.77,0.39,29.05,0.49,14.2345,444
132,0,0,308.57,28.56,807,0.76,0.3,29.05,0.49,14.2345,496
133,0,0,300,27.82,815,0.76,0.3,29.05,0.39,11.3295,454
134,0,0,300,27.82,823,0.76,0.3,29.05,0.39,11.3295,516
135,0,0,300,27.82,831,0.92,0.3,29.05,0.59,17.1395,1023
136,0,0,291.43,26.99,838,0.76,0.3,29.21,0.49,14.3129,468
137,0,0,274.29,25.41,845,0.76,0.39,29.21,0.49,14.3129,441
138,0,0,274.29,25.41,852,0.92,0.3,29.05,0.39,11.3295,256
139,0,0,274.29,25.41,859,0.76,0.3,29.21,0.49,14.3129,515
140,0,0,265.71,24.58,866,0.92,0.39,29.05,0.49,14.2345,257
141,0,0,257.14,23.83,873,0.76,0.3,28.89,0.49,14.1561,515
142,0,0,248.57,23,879,2.03,1.08,29.05,0.59,17.1395,264
143,0,0,240,22.26,885,10.09,1.17,29.05,0.78,22.659,479
144,0,0,240,22.26,892,17.36,1.37,29.05,0.98,28.469,445
145,0,0,231.43,21.42,898,22.25,1.66,29.05,0.98,28.469,446
146,0,0,214.29,19.85,903,22.57,0.69,29.05,1.08,31.374,470
147,0,0,222.86,20.59,909,21.94,0.78,29.05,1.47,42.7035,525
148,0,0,214.29,19.85,914,21.15,2.25,28.89,1.86,53.7354,435
149,0,0,205.71,19.01,920,20.99,2.05,28.89,2.54,73.3806,449
150,0,0,197.14,18.27,925,20.67,4.69,28.73,3.62,104.0026,443
151,0,0,188.57,17.44,930,21.46,8.5,28.1,8.99,252.619,1023
152,0,0,205.71,19.01,935,22.1,10.94,27.79,11.53,320.4187,491
153,0,0,197.14,18.27,940,22.25,11.53,27.63,11.92,329.3496,1023
154,0,0,197.14,18.27,945,22.41,11.33,27.63,12.11,334.5993,499
155,0,0,205.71,19.01,950,22.89,10.94,27.63,11.82,326.5866,482
156,0,0,205.71,19.01,956,22.73,11.72,27.63,11.72,323.8236,478
157,0,0,197.14,18.27,961,22.89,11.72,27.47,12.21,335.4087,560
158,0,0,205.71,19.01,966,23.36,12.5,27.63,11.33,313.0479,626
159,0,0,205.71,19.01,971,23.52,11.92,27.63,10.94,302.2722,473
160,0,0,214.29,19.85,977,23.83,10.94,27.63,11.33,313.0479,401
161,0,0,205.71,19.01,982,23.99,8.21,27.79,10.26,285.1254,468
162,0,0,214.29,19.85,988,23.52,10.94,27.47,10.94,300.5218,472
163,0,0,214.29,19.85,993,23.2,12.21,27.63,12.01,331.8363,425
164,0,0,214.29,19.85,999,23.52,11.92,27.47,11.92,327.4424,400
165,0,0,205.71,19.01,1004,23.2,11.43,27.47,12.6,346.122,481
166,0,0,214.29,19.85,1009,23.83,10.94,27.63,11.62,321.0606,482
167,0,0,214.29,19.85,1015,23.83,11.62,27.63,11.43,315.8109,479
168,0,0,214.29,19.85,1021,24.15,10.65,27.31,10.84,296.0404,500
169,0,0,214.29,19.85,1026,23.99,10.65,27.79,10.84,301.2436,475
170,0,0,214.29,19.85,1032,24.31,11.62,27.63,10.55,291.4965,1023
171,0,0,222.86,20.59,1037,23.83,11.72,27.47,11.43,313.9821,498
172,0,0,214.29,19.85,1043,23.68,11.43,27.47,12.4,340.628,481
173,0,0,214.29,19.85,1048,23.52,12.11,27.15,12.8,347.52,489
174,0,0,205.71,19.01,1054,23.36,13.67,27.15,14.26,387.159,399
175,0,0,205.71,19.01,1059,23.36,13.77,27.15,14.16,384.444,510
176,0,0,205.71,19.01,1064,23.2,14.06,27.15,15.04,408.336,582
177,0,0,197.14,18.27,1070,23.68,13.97,27.15,14.46,392.589,658
178,0,0,214.29,19.85,1075,23.04,14.26,27.15,14.94,405.621,488
time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent,, accelerator
0,0,0,-8.57,0,1,0.76,0.3,28.89,0.59,17.0451,516
1,0,0,85.71,7.88,3,7.24,0.49,29.05,0.78,22.659,1023
2,0,0,77.14,7.14,5,6.77,3.62,29.05,1.37,39.7985,472
3,0,0,60,5.56,7,7.72,8.99,28.58,3.52,100.6016,432
4,0,0,60,5.56,8,9.3,15.92,28.1,7.52,211.312,478
6,0,0,60,5.56,10,10.88,19.05,27.63,11.33,313.0479,545
7,0,0,85.71,7.88,12,13.09,19.34,27.15,14.06,381.729,713
time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent,, accelerator
1,0,0,-8.57,0,1,0.92,0.3,29.05,0.49,14.2345,516
2,0,0,137.14,12.71,5,0.92,0.3,29.05,0.39,11.3295,1023
3,0,0,145.71,13.45,9,0.92,0.39,28.89,0.39,11.2671,471
4,0,0,162.86,15.02,13,8.51,0.59,29.05,0.78,22.659,530
5,0,0,180,16.69,17,16.57,1.96,28.89,0.98,28.3122,435
6,0,0,205.71,19.01,23,21.46,2.05,28.89,0.98,28.3122,427
7,0,0,214.29,19.85,28,23.2,1.86,29.05,1.17,33.9885,1023
8,0,0,240,22.26,34,23.99,0.78,28.89,1.08,31.2012,445
9,0,0,240,22.26,41,25.41,0.49,28.89,0.98,28.3122,446
10,0,0,274.29,25.41,48,26.2,0.49,29.05,0.88,25.564,466
11,0,0,265.71,24.58,54,26.52,0.49,29.05,0.88,25.564,422
12,0,0,282.86,26.15,62,26.52,0.49,29.05,0.88,25.564,520
13,0,0,291.43,26.99,69,26.84,0.39,28.89,0.78,22.5342,465
14,0,0,291.43,26.99,77,27,0.98,28.89,0.88,25.4232,428
15,0,0,291.43,26.99,84,27.15,0.39,29.05,0.78,22.659,487
16,0,0,300,27.82,92,27.31,0.1,28.89,0.88,25.4232,525
17,0,0,291.43,26.99,100,27.47,0.88,28.89,0.98,28.3122,426
18,0,0,291.43,26.99,107,27.47,2.05,28.73,0.78,22.4094,1023
19,0,0,300,27.82,115,27.31,0.98,29.05,0.88,25.564,439
20,0,0,300,27.82,122,24.94,0.3,29.05,0.49,14.2345,514
21,0,0,300,27.82,130,18.15,0.39,29.21,0.49,14.3129,435
22,0,0,300,27.82,138,12.3,0.3,29.05,0.49,14.2345,436
23,0,0,291.43,26.99,145,7.4,0.3,29.05,0.49,14.2345,435
24,0,0,300,27.82,153,3.45,0.3,29.05,0.49,14.2345,449
25,0,0,300,27.82,161,0.76,0.39,29.05,0.49,14.2345,446
26,0,0,308.57,28.56,169,0.76,0.3,29.21,0.49,14.3129,498
27,0,0,300,27.82,177,0.76,0.3,29.05,0.39,11.3295,440
28,0,0,300,27.82,184,0.76,0.39,29.05,0.49,14.2345,435
29,0,0,291.43,26.99,192,0.76,0.3,29.05,0.39,11.3295,447
30,0,0,282.86,26.15,199,0.92,0.3,29.21,0.49,14.3129,466
31,0,0,274.29,25.41,206,0.76,0.3,29.05,0.49,14.2345,444
32,0,0,274.29,25.41,213,0.92,0.3,29.21,0.49,14.3129,498
33,0,0,274.29,25.41,220,0.76,0.3,29.21,0.39,11.3919,444
34,0,0,257.14,23.83,227,2.66,0.59,29.05,0.59,17.1395,499
35,0,0,265.71,24.58,234,10.72,0.69,29.05,0.88,25.564,441
36,0,0,265.71,24.58,241,18.15,0.69,28.89,0.98,28.3122,366
37,0,0,257.14,23.83,247,22.57,1.56,29.05,0.98,28.469,465
38,0,0,257.14,23.83,254,24.78,0.39,28.89,0.88,25.4232,426
39,0,0,257.14,23.83,260,25.73,0.98,29.05,0.88,25.564,1023
40,0,0,257.14,23.83,267,25.1,0.98,29.05,0.98,28.469,443
41,0,0,257.14,23.83,274,25.26,1.76,29.05,1.27,36.8935,1023
42,0,0,248.57,23,280,25.57,0.59,28.73,1.17,33.6141,443
43,0,0,257.14,23.83,287,25.57,1.66,28.89,1.27,36.6903,1023
44,0,0,248.57,23,293,24.94,1.86,28.89,2.25,65.0025,449
45,0,0,248.57,23,300,24.94,2.93,28.89,2.15,62.1135,435
46,0,0,240,22.26,306,24.62,2.15,28.89,2.44,70.4916,441
47,0,0,240,22.26,312,24.62,3.62,28.89,2.54,73.3806,407
48,0,0,240,22.26,318,24.62,3.91,28.89,2.83,81.7587,536
49,0,0,240,22.26,324,24.47,2.64,28.89,3.03,87.5367,482
50,0,0,231.43,21.42,330,24.31,2.93,28.73,3.52,101.1296,438
51,0,0,231.43,21.42,336,24.15,4.3,28.58,3.91,111.7478,551
52,0,0,231.43,21.42,342,24.47,3.91,28.73,3.42,98.2566,456
53,0,0,231.43,21.42,348,24.62,3.03,28.73,3.52,101.1296,433
54,0,0,240,22.26,354,23.99,3.91,28.58,4.2,120.036,440
55,0,0,214.29,19.85,360,23.68,5.18,28.42,5.47,155.4574,432
56,0,0,222.86,20.59,366,23.36,6.94,28.26,6.94,196.1244,457
57,0,0,214.29,19.85,371,23.36,7.03,28.1,7.13,200.353,399
58,0,0,214.29,19.85,377,23.36,7.91,28.1,8.01,225.081,476
59,0,0,214.29,19.85,382,23.04,7.81,27.94,8.69,242.7986,531
60,0,0,214.29,19.85,388,23.04,8.3,27.94,8.99,251.1806,397
61,0,0,205.71,19.01,393,23.04,9.18,27.63,9.18,253.6434,494
62,0,0,214.29,19.85,399,23.36,8.6,27.94,8.69,242.7986,522
63,0,0,205.71,19.01,404,22.89,9.18,27.94,9.67,270.1798,473
64,0,0,214.29,19.85,409,23.68,7.91,28.1,8.11,227.891,402
65,0,0,214.29,19.85,415,23.99,6.94,28.26,6.94,196.1244,451
66,0,0,222.86,20.59,421,23.99,5.96,28.26,6.84,193.2984,462
67,0,0,222.86,20.59,426,23.83,7.03,28.1,6.94,195.014,521
68,0,0,231.43,21.42,432,24.47,5.47,28.26,5.57,157.4082,473
69,0,0,231.43,21.42,438,25.1,3.81,28.58,3.91,111.7478,409
70,0,0,240,22.26,444,25.1,4.79,28.58,3.52,100.6016,410
71,0,0,248.57,23,451,25.57,2.74,28.73,2.93,84.1789,1023
72,0,0,248.57,23,457,25.26,2.74,28.73,2.93,84.1789,453
73,0,0,240,22.26,463,25.73,2.54,28.58,2.93,83.7394,471
74,0,0,240,22.26,470,24.78,2.44,28.73,3.32,95.3836,547
75,0,0,248.57,23,476,25.57,2.74,28.73,2.05,58.8965,412
76,0,0,257.14,23.83,483,25.57,2.44,28.73,1.96,56.3108,491
77,0,0,248.57,23,489,25.73,1.27,28.89,1.66,47.9574,1023
78,0,0,257.14,23.83,496,25.89,1.08,28.89,1.76,50.8464,446
79,0,0,257.14,23.83,502,25.57,1.17,28.73,1.76,50.5648,481
80,0,0,257.14,23.83,509,25.57,1.27,28.73,1.86,53.4378,434
81,0,0,240,22.26,515,25.57,1.56,28.73,1.96,56.3108,432
82,0,0,248.57,23,521,25.1,3.13,28.73,2.74,78.7202,445
83,0,0,248.57,23,528,25.1,2.74,28.73,2.93,84.1789,456
84,0,0,240,22.26,534,24.94,3.03,28.73,3.03,87.0519,433
85,0,0,231.43,21.42,540,24.78,3.71,28.58,3.62,103.4596,441
86,0,0,231.43,21.42,546,24.78,3.52,28.73,3.81,109.4613,407
87,0,0,240,22.26,552,24.78,2.93,28.58,3.42,97.7436,557
88,0,0,240,22.26,558,24.94,2.54,28.58,3.81,108.8898,441
89,0,0,231.43,21.42,564,24.62,3.62,28.58,3.71,106.0318,407
90,0,0,231.43,21.42,570,24.47,3.52,28.58,3.81,108.8898,543
91,0,0,240,22.26,576,24.78,3.42,28.58,3.32,94.8856,468
92,0,0,240,22.26,583,24.94,2.93,28.58,3.13,89.4554,437
93,0,0,231.43,21.42,589,24.47,3.52,28.73,3.71,106.5883,477
94,0,0,240,22.26,595,24.94,3.03,28.73,3.32,95.3836,470
95,0,0,240,22.26,601,24.78,3.23,28.73,3.23,92.7979,543
96,0,0,240,22.26,607,24.78,2.74,28.58,3.52,100.6016,473
97,0,0,231.43,21.42,613,24.47,3.71,28.58,4.2,120.036,406
98,0,0,231.43,21.42,619,24.15,5.08,28.42,4.98,141.5316,562
99,0,0,222.86,20.59,625,24.31,5.28,28.42,5.28,150.0576,431
100,0,0,222.86,20.59,631,23.68,6.06,27.94,6.84,191.1096,465
101,0,0,214.29,19.85,636,23.83,7.03,28.1,7.13,200.353,456
102,0,0,214.29,19.85,642,23.52,8.69,28.1,8.01,225.081,429
103,0,0,214.29,19.85,647,22.73,9.67,27.79,10.06,279.5674,501
104,0,0,205.71,19.01,652,23.04,10.16,27.79,10.26,285.1254,499
105,0,0,197.14,18.27,658,22.89,11.04,27.79,11.14,309.5806,476
106,0,0,205.71,19.01,663,23.04,11.04,27.63,10.84,299.5092,548
107,0,0,205.71,19.01,668,23.68,10.06,27.63,10.06,277.9578,1023
108,0,0,214.29,19.85,674,23.2,10.74,27.47,11.04,303.2688,487
109,0,0,205.71,19.01,679,22.89,11.72,27.47,12.7,348.869,634
110,0,0,197.14,18.27,684,22.57,13.28,27.31,13.19,360.2189,1023
111,0,0,205.71,19.01,689,23.2,13.77,27.31,13.28,362.6768,499
112,0,0,205.71,19.01,695,23.2,9.96,27.31,13.38,365.4078,486
113,0,0,205.71,19.01,700,23.04,14.36,27.15,13.58,368.697,649
114,0,0,205.71,19.01,705,23.68,11.72,27.63,11.53,318.5739,402
time, lapCount, lapTime, wRPM, speed, distance, motorVoltage, motorCurrent, batteryVoltage, batteryCurrent,, accelerator
1,0,0,-8.57,0,3,0.92,0.39,29.05,0.49,14.2345,516
2,0,0,214.29,19.85,8,7.24,1.47,28.89,0.78,22.5342,1023
3,0,0,222.86,20.59,14,15.46,1.66,28.89,1.08,31.2012,455
4,0,0,240,22.26,20,21.31,0.39,28.89,0.88,25.4232,520
5,0,0,265.71,24.58,27,24.31,0.39,28.89,0.88,25.4232,466
6,0,0,257.14,23.83,34,25.26,0.98,28.89,0.88,25.4232,423
7,0,0,257.14,23.83,41,26.2,0.78,29.05,0.88,25.564,516
8,0,0,274.29,25.41,47,26.52,1.27,28.89,0.88,25.4232,1023
9,0,0,265.71,24.58,54,26.52,0.49,29.21,0.88,25.7048,438
10,0,0,274.29,25.41,61,26.68,0.59,29.05,0.88,25.564,519
11,0,0,274.29,25.41,68,26.68,2.05,28.58,1.08,30.8664,445
12,0,0,265.71,24.58,75,20.67,0.3,29.05,0.49,14.2345,458
13,0,0,257.14,23.83,82,14.2,0.3,29.05,0.49,14.2345,1023
14,0,0,248.57,23,88,9.14,0.3,29.05,0.49,14.2345,457
15,0,0,240,22.26,94,4.71,0.3,29.05,0.49,14.2345,281
16,0,0,240,22.26,101,1.24,0.3,28.89,0.49,14.1561,468
17,0,0,240,22.26,107,0.76,0.3,28.89,0.39,11.2671,438
18,0,0,231.43,21.42,113,0.92,0.3,29.05,0.49,14.2345,516
19,0,0,214.29,19.85,119,0.92,0.3,29.05,0.39,11.3295,1023
20,0,0,222.86,20.59,124,4.24,0.49,29.05,0.59,17.1395,453
21,0,0,214.29,19.85,130,12.46,0.59,29.21,0.98,28.6258,467
22,0,0,214.29,19.85,135,19.41,0.49,28.73,0.88,25.2824,434
23,0,0,197.14,18.27,140,20.36,1.37,28.89,1.08,31.2012,428
24,0,0,197.14,18.27,145,19.41,0.59,29.05,1.56,45.318,492
25,0,0,188.57,17.44,150,19.73,0.88,28.89,1.96,56.6244,500
26,0,0,188.57,17.44,155,19.25,2.74,28.89,2.74,79.1586,434
27,0,0,188.57,17.44,160,19.25,4.69,28.58,3.71,106.0318,443
28,0,0,180,16.69,164,20.04,8.5,28.1,8.11,227.891,1023
29,0,0,188.57,17.44,169,21.31,12.4,27.47,12.6,346.122,493
30,0,0,180,16.69,174,21.62,15.04,27.15,13.97,379.2855,524
31,0,0,197.14,18.27,179,23.2,12.31,27.63,11.33,313.0479,470
32,0,0,205.71,19.01,184,22.89,11.92,27.47,11.82,324.6954,631
33,0,0,197.14,18.27,189,23.04,11.92,27.63,11.82,326.5866,632
34,0,0,214.29,19.85,195,22.73,11.33,27.79,11.33,314.8607,426
35,0,0,205.71,19.01,200,22.73,11.53,27.47,12.21,335.4087,1023
36,0,0,214.29,19.85,206,24.47,12.21,27.63,10.45,288.7335,483
37,0,0,205.71,19.01,211,23.36,10.84,27.63,11.33,313.0479,473
38,0,0,214.29,19.85,217,23.52,11.43,27.63,11.62,321.0606,400
39,0,0,205.71,19.01,222,23.52,10.55,27.63,11.43,315.8109,476
40,0,0,214.29,19.85,227,23.52,10.65,27.63,11.14,307.7982,546
41,0,0,214.29,19.85,233,23.68,11.33,27.63,11.04,305.0352,426
42,0,0,214.29,19.85,239,23.83,11.04,27.63,11.43,315.8109,1023
43,0,0,222.86,20.59,244,23.36,13.09,27.47,12.01,329.9147,490
44,0,0,205.71,19.01,250,23.99,12.01,27.63,11.53,318.5739,1023
45,0,0,222.86,20.59,255,23.83,12.4,27.47,11.92,327.4424,496
46,0,0,205.71,19.01,260,23.99,10.94,27.63,11.53,318.5739,483
47,0,0,222.86,20.59,266,23.99,10.65,27.63,11.04,305.0352,477
48,0,0,214.29,19.85,272,23.2,7.03,28.1,5.96,167.476,486
49,0,0,222.86,20.59,277,22.89,7.91,27.79,8.21,228.1559,594
50,0,0,205.71,19.01,283,23.36,12.21,27.31,12.7,346.837,470
51,0,0,214.29,19.85,288,22.57,8.6,27.94,8.89,248.3866,602
52,0,0,197.14,18.27,293,21.78,6.64,28.1,6.94,195.014,1023
53,0,0,197.14,18.27,298,21.15,11.43,27.94,8.5,237.49,478
54,0,0,180,16.69,303,21.15,14.85,27.47,11.62,319.2014,548
55,0,0,188.57,17.44,308,19.25,4.49,28.26,5.67,160.2342,1023
56,0,0,171.43,15.86,312,19.57,12.11,27.47,11.43,313.9821,494
57,0,0,171.43,15.86,317,17.67,1.96,28.58,2.05,58.589,506
58,0,0,154.29,14.28,321,17.51,8.01,28.1,6.64,186.584,1023
59,0,0,162.86,15.02,325,18.62,12.8,27.31,12.6,344.106,505
60,0,0,154.29,14.28,329,16.41,3.13,28.42,3.62,102.8804,355
61,0,0,137.14,12.71,333,15.14,6.25,28.42,3.81,108.2802,448
62,0,0,145.71,13.45,336,16.25,9.87,27.79,8.69,241.4951,469
63,0,0,128.57,11.87,340,16.09,12.5,27.94,8.69,242.7986,498
64,0,0,145.71,13.45,343,15.62,6.25,28.1,5.96,167.476,461
65,0,0,128.57,11.87,347,15.46,10.45,28.1,7.33,205.973,489
66,0,0,137.14,12.71,350,16.25,17.39,27.15,12.6,342.09,353
67,0,0,120,11.13,353,14.67,6.94,28.42,4.98,141.5316,450
68,0,0,137.14,12.71,357,15.93,12.01,27.63,10.84,299.5092,466
69,0,0,137.14,12.71,360,17.67,16.6,27.31,13.19,360.2189,488
70,0,0,145.71,13.45,364,19.57,16.99,27,14.94,403.38,422
71,0,0,180,16.69,369,20.36,13.87,27.47,11.82,324.6954,628
72,0,0,180,16.69,373,21.78,10.74,27.63,9.77,269.9451,457
73,0,0,214.29,19.85,379,22.41,8.11,28.1,6.55,184.055,394
74,0,0,205.71,19.01,384,23.83,6.55,28.1,5.67,159.327,1023
75,0,0,240,22.26,390,25.41,4.4,28.1,5.57,156.517,459
76,0,0,257.14,23.83,397,26.84,1.76,28.58,2.64,75.4512,1023
77,0,0,282.86,26.15,404,28.42,0.39,28.73,1.27,36.4871,445
78,0,0,291.43,26.99,412,28.58,1.76,28.73,0.78,22.4094,440
79,0,0,308.57,28.56,420,28.26,0.1,28.73,0.88,25.2824,433
80,0,0,317.14,29.4,428,24.78,0.2,28.89,0.39,11.2671,424
81,0,0,325.71,30.14,436,18.78,1.17,29.05,0.78,22.659,435
82,0,0,342.86,31.72,445,26.52,0.98,28.42,0.88,25.0096,430
83,0,0,334.29,30.98,454,27,0.49,28.89,0.88,25.4232,475
84,0,0,351.43,32.55,463,27.31,1.27,28.89,0.78,22.5342,1023
85,0,0,342.86,31.72,472,27.31,0.39,28.89,0.78,22.5342,441
86,0,0,342.86,31.72,480,27.31,0.69,28.89,0.88,25.4232,422
87,0,0,342.86,31.72,489,26.36,0.49,28.89,0.69,19.9341,517
88,0,0,342.86,31.72,498,19.73,0.3,29.05,0.49,14.2345,1023
89,0,0,351.43,32.55,507,14.04,0.3,28.89,0.39,11.2671,454
90,0,0,342.86,31.72,516,8.82,0.3,28.89,0.49,14.1561,516
91,0,0,342.86,31.72,525,4.56,0.3,28.73,0.39,11.2047,1023
92,0,0,342.86,31.72,534,1.4,0.3,29.05,0.49,14.2345,464
93,0,0,351.43,32.55,543,0.92,0.3,28.89,0.49,14.1561,450
94,0,0,342.86,31.72,552,0.92,0.39,29.05,0.39,11.3295,439
95,0,0,342.86,31.72,560,0.92,0.39,28.89,0.39,11.2671,514
96,0,0,334.29,30.98,569,0.92,0.3,28.73,0.39,11.2047,435
97,0,0,325.71,30.14,578,0.92,0.39,29.05,0.49,14.2345,442
98,0,0,334.29,30.98,586,0.92,0.3,28.89,0.39,11.2671,1023
99,0,0,317.14,29.4,594,0.92,0.3,29.05,0.49,14.2345,462
100,0,0,308.57,28.56,602,0.92,0.3,28.89,0.49,14.1561,492
101,0,0,308.57,28.56,610,0.92,0.3,29.05,0.49,14.2345,494
102,0,0,300,27.82,618,0.92,0.3,28.89,0.39,11.2671,489
103,0,0,300,27.82,625,0.76,0.3,29.05,0.39,11.3295,257
104,0,0,300,27.82,633,0.76,0.3,28.89,0.49,14.1561,514
105,0,0,291.43,26.99,641,0.92,0.3,28.89,0.39,11.2671,436
106,0,0,291.43,26.99,648,0.76,0.39,28.89,0.49,14.1561,433
107,0,0,282.86,26.15,656,0.76,0.3,28.89,0.49,14.1561,440
108,0,0,291.43,26.99,663,0.92,0.3,29.05,0.69,20.0445,435
109,0,0,282.86,26.15,670,0.76,0.3,29.05,0.49,14.2345,442
110,0,0,291.43,26.99,678,0.92,0.3,28.89,0.49,14.1561,1023
111,0,0,274.29,25.41,685,0.76,0.3,28.89,0.49,14.1561,461
112,0,0,265.71,24.58,692,1.55,0.98,29.05,0.49,14.2345,455
113,0,0,265.71,24.58,699,8.35,0.88,28.89,0.69,19.9341,517
114,0,0,257.14,23.83,705,7.24,0.3,28.89,0.49,14.1561,1023
115,0,0,257.14,23.83,712,5.98,0.69,28.89,0.59,17.0451,455
116,0,0,248.57,23,718,13.09,0.39,28.89,0.88,25.4232,522
117,0,0,240,22.26,724,19.25,0.49,29.05,0.98,28.469,425
118,0,0,240,22.26,731,23.04,0.78,29.05,0.88,25.564,397
119,0,0,231.43,21.42,737,23.52,0.88,29.05,1.08,31.374,445
120,0,0,231.43,21.42,743,22.41,1.27,28.89,1.37,39.5793,452
121,0,0,222.86,20.59,748,20.99,1.66,28.73,1.96,56.3108,428
122,0,0,197.14,18.27,753,20.83,2.35,28.73,2.74,78.7202,491
123,0,0,197.14,18.27,758,20.99,5.67,28.42,4.69,133.2898,1023
124,0,0,188.57,17.44,763,21.46,11.14,27.79,10.65,295.9635,479
125,0,0,197.14,18.27,768,21.94,11.62,27.47,11.62,319.2014,498
126,0,0,197.14,18.27,773,22.41,11.23,27.63,11.43,315.8109,469
127,0,0,197.14,18.27,779,22.1,11.04,27.47,11.82,324.6954,508
128,0,0,205.71,19.01,784,23.52,15.04,27.15,14.94,405.621,569
129,0,0,205.71,19.01,789,24.15,11.62,27.63,11.53,318.5739,404
130,0,0,214.29,19.85,795,24.62,12.99,27.63,11.14,307.7982,461
131,0,0,231.43,21.42,801,24.94,9.57,27.79,9.67,268.7293,496
132,0,0,231.43,21.42,807,25.89,8.21,28.1,7.72,216.932,458
133,0,0,240,22.26,813,26.05,8.4,28.1,7.13,200.353,1023
134,0,0,248.57,23,819,25.89,6.06,27.94,6.64,185.5216,469
135,0,0,248.57,23,826,24.47,0.39,28.89,0.49,14.1561,465
136,0,0,248.57,23,832,17.2,0.3,28.89,0.39,11.2671,434
137,0,0,257.14,23.83,839,11.98,0.3,28.89,0.49,14.1561,434
138,0,0,248.57,23,845,6.93,0.3,29.05,0.49,14.2345,443
139,0,0,248.57,23,851,2.66,0.3,28.89,0.49,14.1561,1023
140,0,0,248.57,23,858,0.76,0.39,29.05,0.49,14.2345,466
141,0,0,248.57,23,864,6.14,1.08,28.89,0.78,22.5342,441
142,0,0,240,22.26,870,15.14,0.49,28.89,1.08,31.2012,346
143,0,0,248.57,23,877,21.94,1.86,28.89,0.98,28.3122,1023
144,0,0,257.14,23.83,883,25.1,0.69,28.89,0.98,28.3122,436
145,0,0,240,22.26,890,24.62,1.37,28.89,1.37,39.5793,425
146,0,0,240,22.26,896,24.47,0.69,28.89,1.47,42.4683,405
147,0,0,240,22.26,902,23.83,1.37,28.89,1.47,42.4683,461
148,0,0,240,22.26,908,23.52,0.78,28.73,1.86,53.4378,454
149,0,0,231.43,21.42,914,23.36,2.25,28.73,2.15,61.7695,533
150,0,0,222.86,20.59,920,22.89,2.05,28.73,2.25,64.6425,1023
151,0,0,222.86,20.59,926,22.25,3.91,28.73,2.64,75.8472,450
152,0,0,222.86,20.59,931,22.73,4.01,28.73,3.03,87.0519,435
153,0,0,214.29,19.85,937,22.73,2.54,28.42,2.64,75.0288,439
154,0,0,214.29,19.85,942,22.57,4.01,28.58,3.03,86.5974,557
155,0,0,214.29,19.85,948,22.57,1.76,28.89,3.03,87.5367,441
156,0,0,222.86,20.59,954,22.57,2.25,28.73,2.74,78.7202,395
157,0,0,214.29,19.85,959,22.89,4.4,28.58,2.83,80.8814,1023
158,0,0,222.86,20.59,965,22.89,1.56,28.73,2.54,72.9742,455
159,0,0,222.86,20.59,971,22.89,4.01,28.42,2.83,80.4286,540
160,0,0,214.29,19.85,976,22.41,2.15,28.73,2.93,84.1789,428
161,0,0,214.29,19.85,982,22.89,2.15,28.89,2.64,76.2696,492
162,0,0,222.86,20.59,987,22.41,1.76,28.73,2.93,84.1789,501
163,0,0,222.86,20.59,993,22.41,2.15,28.73,2.83,81.3059,471
164,0,0,205.71,19.01,998,22.1,4.69,28.58,3.62,103.4596,567
165,0,0,205.71,19.01,1004,22.41,5.08,28.1,5.37,150.897,569
166,0,0,205.71,19.01,1009,21.62,4.69,28.58,3.71,106.0318,388
167,0,0,197.14,18.27,1014,21.31,6.06,28.26,6.35,179.451,447
168,0,0,197.14,18.27,1019,22.1,11.72,27.79,10.35,287.6265,495
169,0,0,197.14,18.27,1024,22.25,9.96,27.79,10.45,290.4055,496
170,0,0,197.14,18.27,1029,21.94,11.53,27.79,10.45,290.4055,476
171,0,0,197.14,18.27,1034,21.78,11.14,27.63,10.94,302.2722,539
172,0,0,197.14,18.27,1040,21.78,11.23,27.63,10.26,283.4838,471
173,0,0,188.57,17.44,1044,21.94,12.8,28.26,10.94,309.1644,644
174,0,0,197.14,18.27,1049,21.94,10.35,27.63,10.55,291.4965,461
175,0,0,197.14,18.27,1055,22.1,11.72,27.63,10.35,285.9705,501
176,0,0,197.14,18.27,1060,22.25,11.23,27.79,10.16,282.3464,498
177,0,0,205.71,19.01,1065,21.94,11.53,27.63,10.35,285.9705,468
178,0,0,188.57,17.44,1070,22.25,15.63,27.15,15.14,411.051,486
179,0,0,188.57,17.44,1075,16.25,0.3,28.89,0.49,14.1561,516
